metric,increment,resource,mean,stddev,data_points
latency,0,cpu,2644.8330000000001,27.704999999999927,"[2617.128, 2672.538]"
latency,0,disk,2644.8330000000001,27.704999999999927,"[2617.128, 2672.538]"
latency,0,network,2644.8330000000001,27.704999999999927,"[2617.128, 2672.538]"
latency,20,cpu,2584.8320000000003,36.685999999999922,"[2621.518, 2548.146]"
latency,20,disk,8163.0230000000001,5230.5389999999998,"[13393.562, 2932.484]"
latency,20,network,2557.1255000000001,25.650499999999965,"[2582.776, 2531.475]"
rps,0,cpu,0.375,0.0050000000000000044,"[0.38, 0.37]"
rps,0,disk,0.375,0.0050000000000000044,"[0.38, 0.37]"
rps,0,network,0.375,0.0050000000000000044,"[0.38, 0.37]"
rps,20,cpu,0.38500000000000001,0.0050000000000000044,"[0.38, 0.39]"
rps,20,disk,0.20500000000000002,0.13500000000000001,"[0.07, 0.34]"
rps,20,network,0.39500000000000002,0.0050000000000000044,"[0.39, 0.4]"
latency_50,0,cpu,0.0,0.0,"[0, 0]"
latency_50,0,disk,0.0,0.0,"[0, 0]"
latency_50,0,network,0.0,0.0,"[0, 0]"
latency_50,20,cpu,0.0,0.0,"[0, 0]"
latency_50,20,disk,0.0,0.0,"[0, 0]"
latency_50,20,network,0.0,0.0,"[0, 0]"
percent requests within 100,0,cpu,0.0,0.0,"[0.0, 0.0]"
percent requests within 100,0,disk,0.0,0.0,"[0.0, 0.0]"
percent requests within 100,0,network,0.0,0.0,"[0.0, 0.0]"
percent requests within 100,20,cpu,0.0,0.0,"[0.0, 0.0]"
percent requests within 100,20,disk,0.0,0.0,"[0.0, 0.0]"
percent requests within 100,20,network,0.0,0.0,"[0.0, 0.0]"
